,1 Bdr ,1st Bed,2 Bdr ,2nd Bed,3 Bdr ,3rd Bed,4th Bed,5th Bed,Access,Address,Appliances,Area Pool,Average Baths,Average Bedrooms,Average Lease,Average LeaseSquare Ft,Average List Price,Average Price,Average PriceSquare Ft,Average Rent,Average Square Ft,Average Year Built,Bath,Baths,Bedroom,Bedrooms,Breakfast,Building Sqft,Carport Description,City,Compactor,Connection,Controlled Access,Cooling,Countertop,County,County  Zip Code,Den,Dining,Dishwasher,Disposal,Energy Feature,Exterior,Exterior Type,Extra Room,Family Room,Finance Avail,Fireplace,Floors,Foreclosure,Foundation,Front Door,Game Room,Garage Apartment,Garage Carport,Garages,HOA Mandatory,Heating,Home For Lease,Home For Sales,Homes for Lease,Homes for Sale,Interior,Key Map,Kitchen,Legal Description,List Type,Listing Price,Listing Status,Living,Loft,Lot Description,Lot Size,MLS,Maint Fee Includes,Maintenance Fee,Market Area,Market Area Name,Market Value,Master Bath Description,Media Room,Median Appraised Value,Median Appraised Value  Square ft,Median Lot Square Ft,Median Price  Square ft,Median Square Ft,Median Year Built,Microwave,MultiFamily Description,Name,Neighborhood,Neighborhood Value Range,New Construction,Other Fees,Oven,Page_Link,Parking,Parking Space,Parking Unit,Price Range,Price_Reduced,Private Pool,Private Pool Desc,Property Type,QuartersGuest House,Range,Roof,Room Description,Single Family Properties,State,Status,Stories,StudyLibrary,Style,Subdivision,Subdivision Name,Tax Rate,Taxes wo Exemp,Unit No,Unit1 Bed,Unit1 Kitchen,Unit1 Living,Unit2 Bed1,Unit2 Bed2,Unit2 Kitchen,Unit2 Living,Unit3 Bed1,Unit3 Bed2,Unit3 Bed3,Unit3 Kitchen,Unit3 Living,Utility Room Desc,Utility Room Dim,WasherDryer Conn,Water Amenity,Water Sewer,Year Built,Zip Code,_id,author,null,text
10,,12X11,,11X10,,11X10,14X12,,,1211 Bayou St,,No,1.97,3.55,,,,,,,,,,2 Full  Bath(s),,4 Bedroom(s),,"1,200111(m²)  /Appraisal",,Houston,,,,Other Cooling,,Harris County,77020,,,,,Ceiling Fans,,Wood,,,"Cash Sale, Conventional, Owner Financing",,,,Block & Beam,,,,,,No,Other Heating,,,,,,494E,,LT 4 BLK 17,Exclusive Right to Sell/Lease,107000,For Sale,,,Cleared,"5,000 Sqft.465(m²)  /Appraisal District",73456666 (HAR),,No/$0,Denver Harbor,,,,,"$35,771",$0.00,"5,000",,"1,040",1930,,,,,$20 - $59 K,,No/$0,Gas Oven,http://www.har.com/1211-bayou-st/sale_73456666,,,,,0.1705,No,,Single Family,,Gas Range,Composition,,68,TX,,1,,Traditional,SYDNOR View subdivision price trend,SYDNOR,,,,,,,,,,,,,,,,,,,,Public Water,1935   / Appraisal,77020,5933372ee2bac83b34e52bec,,,
11,,14X12,,11X10,,13X12,10X12,,,4713 Vernon St,,,1.45,2.70,,,,,,,,,,2 Full  Bath(s),,4 Bedroom(s),,"1,918178(m²)  /Appraisal District",,Houston,,,,No Cooling/Vent,,Harris County,77020,,,No,No,,,Aluminum,,,Owner Financing,,,,Block & Beam,,,,,,No,No Heating,,,,,,494G,,LT 14 BLK 8,Exclusive Right to Sell/Lease,115000,For Sale,,,Cleared,"5,000 Sqft.465(m²)  /Appraisal District",42203472 (HAR),,No/$0,Denver Harbor,,,,,"$47,401",,"5,000",$47.79,"1,156",1945,No,,,,$30 - $83 K,,No/$0,Gas Oven,http://www.har.com/4713-vernon-st/sale_42203472,,,,,0.0,No,,Single Family,,,Composition,,205,TX,,2,,Traditional,PINECREST COURT View subdivision price trend,PINECREST COURT,,,,,,,,,,,,,,,,Utility Rm In House,,,,Public Water,1941   / Appraisal District,77020,5933372ee2bac83b34e52bed,,,
12,,,,,,,,,,6705 Avenue C St #3,,,1.47,2.68,,,,,,,,,,,,,,"3,303307(m²)  /Appraisal District",,Houston,,,,Window Units,,Harris County,77011,,,,,,,"Brick & Wood, Stone & Wood",,,"Cash Sale, Investor",,,,,,,,,,,"Central Electric, Central Gas",,,,,,494V,,Lot 30 BLK 24 CENTRAL PARK,Exclusive Right to Sell/Lease,120000,For Sale,,,Cleared,"10,500 Sqft.975(m²)  /Appraisal District",46056415 (HAR),,No,East End Revitalized,,,,,"$58,339",,"5,000",$76.57,"1,152",1936,,,,,$44 - $83 K,,No/$0,,http://www.har.com/6705-avenue-c-st-3/sale_46056415,,,,,0.0,,,Multi-Family,,,Composition,,"1,201",TX,,3,,,Central Park View subdivision price trend,CENTRAL PARK,2.68516,"$2,971/2015",3,,,,,,,,,,,,,,,,,,1938   / Appraisal,77011,5933372ee2bac83b34e52bee,,,
13,,16x13,,16x13,,15x12,12x11,,,4711 Sharon St,,,1.45,2.70,,,,,,,,,,1 Full  Bath(s),,4 Bedroom(s),,"1,580147(m²)  /Appraisal District",,Houston,,,,Central Electric,,Harris County,77020,,,,,,,Brick & Wood,,,"Cash Sale, Conventional, FHA, Investor",,,,Pier & Beam,,,,,1 / Detached,No,Central Gas,,,,,,494G,,LT 15 BLK 10 PINECREST COURT SEC 2,Exclusive Right to Sell/Lease,120000,For Sale,11X13,,Cleared,"5,000 Sqft.465(m²)  /Appraisal District",40575824 (HAR),,No/$0,Denver Harbor,,,,,"$47,401",,"5,000",$47.79,"1,156",1945,,,,,$30 - $83 K,,No/$0,,http://www.har.com/4711-sharon-st/sale_40575824,,,,,0.0,No,,Single Family,,,Composition,,205,TX,,1,,Traditional,PINE CREST COURT 2 View subdivision price trend,PINECREST COURT,,,,,,,,,,,,,,,,,,,,"Public Sewer, Public Water",1936   / Appraisal District,77020,5933372ee2bac83b34e52bef,,,
14,,12x13,,11x12,,,,,,5424 San Juan St,,,1.56,2.77,,,,,,,,,,1 Full  Bath(s),,2 Bedroom(s),,"1,082101(m²)  /Appraisal District",,Houston,,,,Other Cooling,,Harris County,77020,,,,,,,Brick & Wood,,,,,,,Slab,,,,,1 / Attached,No,Other Heating,,,,,,494G,,LT 7 BLK 3 BUENA VISTA,Exclusive Right to Sell/Lease,120000,For Sale,,,Subdivision Lot,"4,000 Sqft.372(m²)  /Appraisal District",4732748 (HAR),,No/$0,Denver Harbor,,,,,"$42,273",$0.00,"4,150",,"1,020",1948,,,,,$29 - $92 K,,No/$0,,http://www.har.com/5424-san-juan-st/sale_4732748,,,,,0.0,No,,Single Family,,,Composition,,101,TX,,1,,Traditional,Buena Vista View subdivision price trend,BUENA VISTA,2.53516,"$1,249/2015",,,,,,,,,,,,,,,,,,Public Water,1950   / Appraisal District,77020,5933372ee2bac83b34e52bf0,,,
15,,,,,,,,,,6705 Avenue C St #3,,,1.47,2.68,,,,,,,,,,,,,,"3,303307(m²)  /Appraisal District",,Houston,,,,Window Units,,Harris County,77011,,,,,,,"Brick & Wood, Stone & Wood",,,"Cash Sale, Investor",,,,,,,,,,,"Central Electric, Central Gas",,,,,,494V,,Lot 30 BLK 24 CENTRAL PARK,Exclusive Right to Sell/Lease,120000,For Sale,,,Cleared,"10,500 Sqft.975(m²)  /Appraisal District",46056415 (HAR),,No,East End Revitalized,,,,,"$58,339",,"5,000",$76.57,"1,152",1936,,,,,$44 - $83 K,,No/$0,,http://www.har.com/6705-avenue-c-st-3/sale_46056415,,,,,0.0,,,Multi-Family,,,Composition,,"1,201",TX,,3,,,Central Park View subdivision price trend,CENTRAL PARK,2.68516,"$2,971/2015",3,,,,,,,,,,,,,,,,,,1938   / Appraisal,77011,5933372ee2bac83b34e52bf1,,,
16,,16x13,,16x13,,15x12,12x11,,,4711 Sharon St,,,1.45,2.70,,,,,,,,,,1 Full  Bath(s),,4 Bedroom(s),,"1,580147(m²)  /Appraisal District",,Houston,,,,Central Electric,,Harris County,77020,,,,,,,Brick & Wood,,,"Cash Sale, Conventional, FHA, Investor",,,,Pier & Beam,,,,,1 / Detached,No,Central Gas,,,,,,494G,,LT 15 BLK 10 PINECREST COURT SEC 2,Exclusive Right to Sell/Lease,120000,For Sale,11X13,,Cleared,"5,000 Sqft.465(m²)  /Appraisal District",40575824 (HAR),,No/$0,Denver Harbor,,,,,"$47,401",,"5,000",$47.79,"1,156",1945,,,,,$30 - $83 K,,No/$0,,http://www.har.com/4711-sharon-st/sale_40575824,,,,,0.0,No,,Single Family,,,Composition,,205,TX,,1,,Traditional,PINE CREST COURT 2 View subdivision price trend,PINECREST COURT,,,,,,,,,,,,,,,,,,,,"Public Sewer, Public Water",1936   / Appraisal District,77020,5933372ee2bac83b34e52bf2,,,
17,,12x13,,11x12,,,,,,5424 San Juan St,,,1.56,2.77,,,,,,,,,,1 Full  Bath(s),,2 Bedroom(s),,"1,082101(m²)  /Appraisal District",,Houston,,,,Other Cooling,,Harris County,77020,,,,,,,Brick & Wood,,,,,,,Slab,,,,,1 / Attached,No,Other Heating,,,,,,494G,,LT 7 BLK 3 BUENA VISTA,Exclusive Right to Sell/Lease,120000,For Sale,,,Subdivision Lot,"4,000 Sqft.372(m²)  /Appraisal District",4732748 (HAR),,No/$0,Denver Harbor,,,,,"$42,273",$0.00,"4,150",,"1,020",1948,,,,,$29 - $92 K,,No/$0,,http://www.har.com/5424-san-juan-st/sale_4732748,,,,,0.0,No,,Single Family,,,Composition,,101,TX,,1,,Traditional,Buena Vista View subdivision price trend,BUENA VISTA,2.53516,"$1,249/2015",,,,,,,,,,,,,,,,,,Public Water,1950   / Appraisal District,77020,5933372ee2bac83b34e52bf3,,,
18,,,,,2,,,,,1413 Mystic St,,,2.12,2.93,"$1,349",$1.01,"$231,011",,$134.27,,"1,734",,,,,,,"2,200204(m²)  /Appraisal District",,Houston,,,,Central Electric,NONE,Harris County,,,,,,,,,,,"Cash Sale, Investor",,Tile,,,,,,,,,Central Electric,14,210,,,,494G,,TR 9B WINTERS U/R ABST 32 HARRIS & WILSON,Exclusive Right to Sell/Lease,125000,For Sale,,,,"5,343 Sqft.496(m²)  /Appraisal District",99439736 (HAR),,No/$0,Denver Harbor,Denver Harbor,,,,,,,,,,,Split Plan,,,,,No/$0,,http://www.har.com/1413-mystic-st/sale_99439736,,,Two,,0.1379,,,Multi-Family,,,Composition,,,TX,,2,,,Winters,,2.53516,"$3,000/2015",,,,,,,,,12x13,11x11,11x11,10x11,12x12,,,,,,2014   / Appraisal District,77020,5933372ee2bac83b34e52bf4,,,
19,,14x12,,12x12,,,,,,2721 Sam Wilson St,,,1.47,2.78,,,,,,,,,,2 Full  Bath(s),,2 Bedroom(s),,78072(m²)  /Appraisal District,,Houston,,,,Window Units,,Harris County,77020,,,,,,,Brick Veneer,,,"Cash Sale, Conventional, FHA, Investor, VA",,,,Other,,,,,,No,Central Gas,,,,,,494C,,"TR 2B, Lot 3, 4 BLK 22 CHEW F F",Exclusive Right to Sell/Lease,125500,For Sale,,,Corner,"13,400 Sqft.1,245(m²)  /Appraisal District",34946418 (HAR),,No/$0,Denver Harbor,,,,,"$35,987",$0.00,"5,000",,950,1940,,,,,$27 - $77 K,,No/$0,,http://www.har.com/2721-sam-wilson-st/sale_34946418,,,,,0.0,No,,Single Family,,,Composition,"1 Living Area, Kitchen/Dining Combo, Sun Room,",119,TX,,1,,Traditional,Chew F F View subdivision price trend,CHEW F F,2.53516,$836/2015,,,,,,,,,,,,,,,,,,"Public Sewer, Public Water",1955   / Appraisal District,77020,5933372ee2bac83b34e52bf5,,,
20,,14x11,,12x12,,14x11,10x11,,,4416 Rawley St,,,2.12,2.93,"$1,349",$1.01,"$231,011",,$134.27,,"1,734",,,2 Full  Bath(s),,4 Bedroom(s),,"3,324309(m²)  /Appraisal District",,Houston,,"Electric Dryer Connections, Washer Connections",,Central Electric,,Harris County,,,,Yes,Yes,,,Brick & Wood,,,"Cash Sale, Conventional",,"Wood, Carpet, Vinyl",Yes,Slab,,,,,,No,Central Gas,14,210,,,,494F,10x11,TR 9 ABST 32 HARRIS & WILSON,Exclusive Right to Sell/Lease,128400,For Sale,21x11,,Subdivision Lot,"8,500 Sqft.790(m²)  /Appraisal District",28024171 (HAR),,No/$0,Denver Harbor,Denver Harbor,,Master Bath + Separate Shower,,,,,,,,,,,,,,No/$0,Electric Oven,http://www.har.com/4416-rawley-st/sale_28024171,,,,,0.1348,No,,Single Family,,,Composition,"1 Living Area, Formal Dining",,TX,,1,,Traditional,ALTON,,2.52856,"$3,436/2016",,,,,,,,,,,,,,Utility Rm in House,,,,"Public Sewer, Public Water",1930   / Appraisal District,77020,5933372ee2bac83b34e52bf6,,,
21,,15x14,,11x10,,,,,,7320 El Paso St,,,1.39,2.65,,,,,,,,,,1 Full  Bath(s),,2 - 3 Bedroom(s),,"1,06599(m²)  /Appraisal District",,Houston,,"Gas Dryer Connections, Washer Connections",,Central Electric,,Harris County,77020,,12x8,,Yes,Ceiling Fans,"Fully Fenced, Patio/Deck, Storage Shed, Workshop, Back Yard, Covered Patio/Deck",Wood,15x10,,"Cash Sale, Conventional, FHA, VA",,,,Block & Beam,,,,,,No,Central Gas,,,,,Alarm System - Owned,495E,14x10,LTS 9 & 10 BLK 98 HOUSTON HARBOR,Exclusive Right to Sell/Lease,139000,For Sale,15x13,,Cleared,"5,000 Sqft.465(m²)  /Appraisal District",68962643 (HAR),,No/$0,Denver Harbor,,,,,"$48,119",,"5,000",$43.65,"1,080",1948,,,,,$28 - $80 K,,No/$0,Convection Oven,http://www.har.com/7320-el-paso-st/sale_68962643,,,,,0.0,No,,Single Family,,Gas Range,Composition,"1 Living Area, Formal Dining","1,065",TX,,1,,Traditional,Denver Harbor View subdivision price trend,HOUSTON HARBOR,2.52856,$921/2016,,,,,,,,,,,,,,,,,,"Public Sewer, Public Water",1950   / Appraisal District,77020,5933372ee2bac83b34e52bf7,,,
22,,16X14,,14X10,,12X10,,,,629 Hoffman St,,,2.12,2.93,"$1,349",$1.01,"$231,011",,$134.27,,"1,734",,,1 Full  Bath(s),,3 Bedroom(s),,"1,224114(m²)  /Appraisal",,Houston,,,,No Cooling/Vent,,Harris County,,,,,,,,Wood,,,"Cash Sale, Conventional, Owner Financing",,,,Block & Beam,,,,,,No,No Heating,14,210,,,,494H,,LTS 15 & 16 BLK 64,Exclusive Right to Sell/Lease,139000,For Sale,,,Cleared,,99567748 (HAR),,No/$0,Denver Harbor,Denver Harbor,,,,,,,,,,,,,,,,No/$0,,http://www.har.com/629-hoffman-st/sale_99567748,,,,,0.0,No,,Single Family,,,Composition,,,TX,,1,,Traditional,DENVER,,,,,,,,,,,,,,,,,,,,,Public Water,1940   / Appraisal,77020,5933372ee2bac83b34e52bf8,,,
23,,11x11,,10x10,,,,,Driveway Gate,7346 Dallas St,,,1.40,2.79,,,,,,,,,,1 Full  Bath(s),,2 Bedroom(s),,78473(m²)  /Appraisal District,,Houston,,,,Central Electric,,Harris County,77011,,,,,,,Wood,,,"Cash Sale, Conventional",,,,Slab,North,,,,1 / Detached,No,Central Gas,,,,,,494Z,,TR 12 BLK 5 EAST PARK,Exclusive Right to Sell/Lease,139000,For Sale,,,"Subdivision Lot, Water View","5,000 Sqft.465(m²)  /Appraisal District",63759829 (HAR),,No/$0,East End Revitalized,,,,,"$63,123",$0.00,"5,000",,"1,022",1944,,,,,$43 - $97 K,,No/$0,,http://www.har.com/7346-dallas-st/sale_63759829,,,,,0.0671,No,,Single Family,,,Composition,,58,TX,,1,,Traditional,East Park View subdivision price trend,EAST PARK,2.68516,"$1,384/2015",,,,,,,,,,,,,,,,,Bayou View,"Public Sewer, Public Water",1944   / Appraisal District,77011,5933372ee2bac83b34e52bf9,,,
24,,13x10,,10x9,,12x9,,,,218 N Native Ln,,,2.38,3.00,,,,,,,,,,2 Full  Bath(s),,3 Bedroom(s),,"1,120104(m²)  /Appraisal District",,Houston,,,,Central Electric,,Harris County,77022,,,,,,,Brick & Wood,,,,,,,Slab,,,,,1 / Attached,Yes,Central Electric,,,,,,,9x9,LT 13 BLK 2 BAUMAN VILLAS,Exclusive Right to Sell/Lease,144000,For Sale,,,Subdivision Lot,"3,690 Sqft.343(m²)  /Appraisal District",50487538 (HAR),,$ 400,Northwest Houston,,,,,"$109,434",$0.00,"3,690",,"1,276",2009,,,,,$102 - $118 K,,Yes/$250/Transfer,,http://www.har.com/218-n-native-ln/sale_50487538,,,,,0.0336,No,,Single Family,,,Composition,,34,TX,,1,,Ranch,Bauman Villas View subdivision price trend,BAUMAN VILLAS,2.53516,"$2,617/2015",,,,,,,,,,,,,,,,,,"Public Sewer, Public Water",2006   / Appraisal District,77022,5933372ee2bac83b34e52bfa,,,
