1 Bdr ,1st Bed,2 Bdr ,2nd Bed,3 Bdr ,3rd Bed,4th Bed,5th Bed,Access,Address,Appliances,Area Pool,Average Baths,Average Bedrooms,Average Lease,Average LeaseSquare Ft,Average List Price,Average Price,Average PriceSquare Ft,Average Rent,Average Square Ft,Average Year Built,Bath,Baths,Bedroom,Bedrooms,Breakfast,Building Sqft,Carport Description,City,Compactor,Connection,Controlled Access,Cooling,Countertop,County,County  Zip Code,Den,Dining,Dishwasher,Disposal,Energy Feature,Exterior,Exterior Type,Extra Room,Family Room,Finance Avail,Fireplace,Floors,Foreclosure,Foundation,Front Door,Game Room,Garage Apartment,Garage Carport,Garages,HOA Mandatory,Heating,Home For Lease,Home For Sales,Homes for Lease,Homes for Sale,Interior,Key Map,Kitchen,Legal Description,List Type,Listing Price,Listing Status,Living,Loft,Lot Description,Lot Size,MLS,Maint Fee Includes,Maintenance Fee,Market Area,Market Area Name,Market Value,Master Bath Description,Media Room,Median Appraised Value,Median Appraised Value  Square ft,Median Lot Square Ft,Median Price  Square ft,Median Square Ft,Median Year Built,Microwave,MultiFamily Description,Name,Neighborhood,Neighborhood Value Range,New Construction,Other Fees,Oven,Page_Link,Parking,Parking Space,Parking Unit,Price Range,Price_Reduced,Private Pool,Private Pool Desc,Property Type,QuartersGuest House,Range,Roof,Room Description,Single Family Properties,State,Status,Stories,StudyLibrary,Style,Subdivision,Subdivision Name,Tax Rate,Taxes wo Exemp,Unit No,Unit1 Bed,Unit1 Kitchen,Unit1 Living,Unit2 Bed1,Unit2 Bed2,Unit2 Kitchen,Unit2 Living,Unit3 Bed1,Unit3 Bed2,Unit3 Bed3,Unit3 Kitchen,Unit3 Living,Utility Room Desc,Utility Room Dim,WasherDryer Conn,Water Amenity,Water Sewer,Year Built,Zip Code,_id,author,null,text
,14x16,,14x14,,5x8,,,,2424 Hadley,,No,1.86,2.81,"$1,322",$0.81,"$255,041",,$133.95,,"1,850",,,3 Full  & 1Half Bath(s),,3 Bedroom(s),,"2,393222(m_)  /Appraisal District",,Houston,No,,,Central Electric,Granite,Harris County,,,9x14,Yes,Yes,"Ceiling Fans, HVAC>13 SEER, Tankless/On-Demand H2O Heater",,"Cement Board, Stucco",,,,,"Tile, Wood, Carpet",,Slab,,,,,2 / Attached,No,Central Gas,108,412,,,"Alarm System - Owned, Breakfast Bar, High Ceiling, Prewired for Alarm System, Fire/Smoke Alarm",,12x13,LT 1 BLK 1 HOLMAN OUTLOT #2,Exclusive Right to Sell/Lease,377500,For Sale,14x14,,"Subdivision Lot, Patio Lot","1,890 Sqft.176(m_)  /Survey",27454562 (HAR),,No/$0,University Area,University Area,,"Double Sinks, Master Bath + Separate Shower",,,,,,,,Yes,,,,,,No/$0,Electric Oven,http://www.har.com/2424-hadley/sale_27454562,,,,,0.0539,No,,Single Family,,Gas Cooktop,Composition,"1 Living Area, Formal Living",,TX,,3,,Contemporary/Modern,Holman Outlot,,,,,,,,,,,,,,,,,Utility Room 3rd Floor,3x4,,,Public Sewer,2017   / Builder,77003,5933372ee2bac83b34e52e2b,,,
,13x10,,13x11,,16x11,9x11,,,2111 Oatfield,,,1.94,3,,,,,,,,,,3 Full  & 1Half Bath(s),,4 Bedroom(s),10x11,"2,302214(m_)  /Builder",,Houston,No,Electric Dryer Connections,,Central Electric,,Harris County,77018,,11x10,Yes,Yes,Ceiling Fans,,"Brick Veneer, Other",,,,1 / Gaslog Fireplace,,,Slab,,,,,2 / Attached,Yes,Central Electric,,,,,,,11x12,LT 4 BLK 2 FISHER ESTATES AT OAK FOREST,Exclusive Right to Sell/Lease,379000,For Sale,17x13,,Patio Lot,,60355490 (HAR),,$ 60 / MONTHLY,Oak Forest East Area,,,,,"$297,378",,"7,428",$198.60,"1,483",1951,Yes,,,,$225 - $745 K,,Yes/$100/Transfer Fee,Electric Oven,http://www.har.com/2111-oatfield/sale_60355490,,,,,0,No,,Single Family,,Gas Range,Composition,,"3,819",TX,,4,,Victorian,Oak Forest View subdivision price trend,OAK FOREST ( EAST ),,,,,,,,,,,,,,,,Utility Room 3rd Floor,,,,"Public Sewer, Public Water",2015   / Builder,77018,5933372ee2bac83b34e52e2c,,,
,18x11,,11x10,,10x10,,,,306 Sylvester,,No,1.67,2.79,"$1,316",$1.08,"$212,181",,$136.24,,"1,666",,,2 Full  & 1Half Bath(s),,3 Bedroom(s),,,,Houston,No,"Electric Dryer Connections, Washer Connections",,Central Electric,Granite,Harris County,,,17x10,Yes,Yes,"Attic Vents, Insulated/Low-E windows, Ceiling Fans, Digital Program Thermostat, HVAC>13 SEER, Insulation - Batt","Back Yard, Back Green Space, Back Yard Fenced",Cement Board,,,Conventional,,"Concrete, Tile, Wood, Carpet",,Slab,East,,,Auto Garage Door Opener,2 / Attached,No,Central Electric,82,424,,,"Breakfast Bar, Island Kitchen, Prewired for Alarm System, Fire/Smoke Alarm",453U,17x10,Lot 1 BLK 1,Exclusive Agency to Sell/Lease,379000,For Sale,17x12,,Cleared,"4,474 Sqft.416(m_)  /Survey",22544000 (HAR),,No/$0,Northside,Northside,,"Double Sinks, Master Bath + Separate Shower, Master With Tub",,,,,,,,Yes,,,,,,No/$0,Electric Oven,http://www.har.com/306-sylvester/sale_22544000,,,,,0,No,,Single Family,,Electric Range,Composition,"1 Living Area, Living/Dining Combo",,TX,,2,,Contemporary/Modern,Terra Beth on Sylvester,,,,,,,,,,,,,,,,,Utility Room 2nd Floor,3x3,,,"Public Sewer, Public Water",,77009,5933372ee2bac83b34e52e2d,,,
,19x18,,12x11,,13x13,,,,2707 Sherwin St,,,2.99,2.95,,,,,,,,,,3 Full  Bath(s),,3 Bedroom(s),,"2,187203(m_)  /Appraisal District",,Houston,No,,,Central Electric,granite,Harris County,77007,,14x13,Yes,Yes,,,"Brick & Wood, Stucco",,,,,"Tile, Wood, Carpet",,Slab,,,,,2 / Attached,Yes,Central Gas,,,,,"Alarm System - Owned, Breakfast Bar, High Ceiling",492B,,LT 3 BLK 1 COTTAGE GROVE SEC 6,Exclusive Right to Sell/Lease,379000,For Sale,18x16,,Subdivision Lot,"1,873 Sqft.174(m_)  /Appraisal District",48336134 (HAR),,$ 1850 / ANNUALLY,Cottage Grove,,,,,"$363,000",,"2,688",$170.68,"2,283",2007,Yes,,,,$194 - $486 K,,Yes/$$325/Trans $175/Resale $150 required,Electric Oven,http://www.har.com/2707-sherwin-st/sale_48336134,,,,,0,No,,Single Family,,,Composition,,"1,149",TX,,3,,Mediterranean,Cottage Grove Sec 06 View subdivision price trend,COTTAGE GROVE,2.52856,"$8,268/2016",,,,,,,,,,,,,,Utility Room 1st Floor,,,,"Public Sewer, Public Water",2006   / Appraisal District,77007,5933372ee2bac83b34e52e2e,,,
,16X19,,12X13,,12X11,,,,1417 Birdsall St,Refrigerator,No,3.87,3,,,,,,,,,,3 Full  & 1Half Bath(s),,3 Bedroom(s),,"2,237208(m_)  /Appraisal District",,Houston,,,,Central Electric,GRANITE,Harris County,77007,,12X12,Yes,Yes,Ceiling Fans,"Patio/Deck, Balcony",Stucco,,,"Cash Sale, Conventional, FHA",1 / Gaslog Fireplace,"Tile, Wood, Carpet",,Slab,,,,,2 / Attached,,Central Gas,,,,,"High Ceiling, Fire/Smoke Alarm",492G,15X12,LT 7 BLK 1 MAXIE VILLAGE,Exclusive Right to Sell/Lease,379000,For Sale,16X21,,,"1,502 Sqft.140(m_)  /Appraisal District",85467443 (HAR),,No/$0,Rice Military/Washington Corridor,,,"Double Sinks, Master Bath + Separate Shower, Whirlpool/Tub",,"$375,000",$0.00,"1,613",,"2,252",2004,Yes,,,,$353 - $438 K,,No/$0,Gas Oven,http://www.har.com/1417-birdsall-st/sale_85467443,Auto Garage Door Opener,,,,0,No,,Townhouse / Condo,,Gas Range,Composition,"1 Living Area, Living Area - 2nd Floor",15,TX,,3,,Traditional,Maxie Village View subdivision price trend,MAXIE SQUARE,2.52856,"$9,356/2016",,,,,,,,,,,,,,,,Yes,,"Public Sewer, Public Water",2004   / Appraisal District,77007,5933372ee2bac83b34e52e2f,,,
,18x15,,14x12,,12x11,,,,2125 Roy  D,,No,2.75,3.03,"$2,828",$1.22,"$416,576",,$181.56,,"2,336",,,3 Full  & 1Half Bath(s),,3 Bedroom(s),,"2,383221(m_)  /Appraisal District",,Houston,,,,Central Electric,,Harris County,,,13x12,Yes,,,,Stucco,,,,,"Wood, Carpet",,Slab,,,,,2 / Attached,,Central Gas,42,145,,,,492G,,LT 2 BLK 1 LARKINESQUE,Exclusive Right to Sell/Lease,379000,For Sale,18x18,,,"1,982 Sqft.184(m_)  /Appraisal District",80927240 (HAR),"Limited Access Gates, Grounds",$600,Cottage Grove,Cottage Grove,,Double Sinks,,,,,,,,Yes,,,,,,No/$0,Gas Oven,http://www.har.com/2125-roy--d/sale_80927240,Auto Garage Door Opener,,,,0,No,,Townhouse / Condo,,Gas Range,Composition,,,TX,,3,,Contemporary/Modern,COTTAGE GROVE,,,,D,,,,,,,,,,,,,,,,,"Public Sewer, Public Water",2005   / Appraisal District,77007,5933372ee2bac83b34e52e30,,,
,,,,,,,,,1265 Du barry,,,1.94,3,,,,,,,,,,2 Full  Bath(s),,4 Bedroom(s),,,,Houston,,,,Central Gas,,Harris County,77018,,,,,,,Stucco,,,,,,,Slab,,,,,1 / Attached/Detached,No,Central Gas,,,,,,,,LT 1 BLK 11 OAK FOREST SEC 1,Exclusive Right to Sell/Lease,379000,For Sale,,,Corner,"8,540 Sqft.793(m_)  /Appraisal District",89256516 (HAR),,No/$0,Oak Forest East Area,,,,,"$297,378",,"7,428",$198.60,"1,483",1951,,,,,$225 - $745 K,,No/$0,,http://www.har.com/1265-du-barry/sale_89256516,,,,,0,No,,Single Family,,,Composition,,"3,819",TX,,1,,Traditional,Oak Forest View subdivision price trend,OAK FOREST ( EAST ),,,,,,,,,,,,,,,,,,,,Public Sewer,1950   / Appraisal District,77018,5933372ee2bac83b34e52e31,,,
,13x10,,13x11,,16x11,9x11,,,2109 Oatfield Dr,,No,1.94,3,,,,,,,,,,3 Full  & 1Half Bath(s),,4 Bedroom(s),10x11,"2,302214(m_)  /Appraisal District",,Houston,,"Electric Dryer Connections, Gas Dryer Connections, Washer Connections",,Central Electric,Granite and Marble,Harris County,77018,,11x10,Yes,Yes,"Attic Fan, Attic Vents, Insulated Doors, Ceiling Fans, Digital Program Thermostat, Energy Star/CFL/LED Lights, High-Efficiency HVAC, HVAC>13 SEER",,"Brick Veneer, Cement Board",8x9,,"Cash Sale, Conventional, FHA, Investor, VA",,"Tile, Wood",,Slab,,,,,2 / Attached,Yes,Central Gas,,,,,"High Ceiling, Island Kitchen, Refrigerator Included, Fire/Smoke Alarm",452P,11x12,LT 5 BLK 2 FISHER ESTATES AT OAK FOREST,Exclusive Right to Sell/Lease,379000,For Sale,17x13,,Patio Lot,"1,368 Sqft.127(m_)  /Appraisal District",12775260 (HAR),,$ 60 / MONTHLY,Oak Forest East Area,,,"Double Sinks, Master Bath + Separate Shower",,"$297,378",,"7,428",$198.60,"1,483",1951,Yes,,,,$225 - $745 K,,Yes/$150,Convection Oven,http://www.har.com/2109-oatfield-dr/sale_12775260,,,,,0.0257,No,,Single Family,,Gas Cooktop,Composition,Living Area - 2nd Floor,"3,819",TX,,4,,Contemporary/Modern,Oak Forest View subdivision price trend,OAK FOREST ( EAST ),2.52856,"$5,436/2016",,,,,,,,,,,,,,Utility Rm in House,,,,"Public Sewer, Public Water",2015   / Appraisal District,77018,5933372ee2bac83b34e52e32,,,
,13x10,,13x11,,16x11,9x11,,,2113 Oatfield Dr,,No,1.94,3,,,,,,,,,,3 Full  & 1Half Bath(s),,4 Bedroom(s),10x11,"2,302214(m_)  /Appraisal District",,Houston,,"Electric Dryer Connections, Gas Dryer Connections, Washer Connections",,Central Electric,Granite and Marble,Harris County,77018,,11x10,Yes,Yes,"Attic Fan, Attic Vents, Insulated Doors, Ceiling Fans, Digital Program Thermostat, Energy Star/CFL/LED Lights, High-Efficiency HVAC, HVAC>13 SEER",,"Brick Veneer, Cement Board",8x9,,"Cash Sale, Conventional, FHA, Investor, VA",,"Tile, Wood",,Slab,,,,,2 / Attached,Yes,Central Gas,,,,,"High Ceiling, Island Kitchen, Refrigerator Included, Fire/Smoke Alarm",452P,11x12,LT 3 BLK 2 FISHER ESTATES AT OAK FOREST,Exclusive Right to Sell/Lease,379000,For Sale,17x13,,Patio Lot,"1,368 Sqft.127(m_)  /Appraisal District",96136289 (HAR),,$ 60 / MONTHLY,Oak Forest East Area,,,"Double Sinks, Master Bath + Separate Shower",,"$297,378",,"7,428",$198.60,"1,483",1951,Yes,,,,$225 - $745 K,,Yes/$150,Convection Oven,http://www.har.com/2113-oatfield-dr/sale_96136289,,,,,0.0257,No,,Single Family,,Gas Cooktop,Composition,Living Area - 2nd Floor,"3,819",TX,,4,,Contemporary/Modern,Oak Forest View subdivision price trend,OAK FOREST ( EAST ),,,,,,,,,,,,,,,,Utility Rm in House,,,,"Public Sewer, Public Water",2015   / Appraisal District,77018,5933372ee2bac83b34e52e33,,,
,15x18,,10x11,,11x13,,,,6522 Calder Street,,No,2.99,2.95,,,,,,,,,,3 Full  & 1Half Bath(s),,3 Bedroom(s),,"2,580240(m_)  /Appraisal District",,Houston,No,,,Central Electric,granite,Harris County,77007,,9x11,Yes,Yes,,,"Cement Board, Stucco",,,,1 / Gaslog Fireplace,,,Slab on Builders Pier,,,,,2 / Attached,Yes,Central Gas,,,,,,492f,14x14,LT 5 BLK 1 TOSCANA COURT,Exclusive Right to Sell/Lease,379000,For Sale,20x22,,Cleared,"1,640 Sqft.152(m_)  /Appraisal District",74074180 (HAR),,No/$0,Rice Military/Washington Corridor,,,,,"$363,000",,"2,688",$170.68,"2,283",2007,Yes,,,,$194 - $486 K,,No/$0,Convection Oven,http://www.har.com/6522-calder-street/sale_74074180,Controlled Entrance,,,,0.0501,No,,Single Family,,Gas Range,Composition,,"1,149",TX,,3,16x10,Mediterranean,Rice Military / Washington View subdivision price trend,COTTAGE GROVE,2.76561,"$8,924/2012",,,,,,,,,,,,,,Utility Rm in House,,,,"Public Sewer, Public Water",2005   / Appraisal District,77007,5933372ee2bac83b34e52e34,,,
,16x12,,14x12,,12x11,,,,4410 Feagan St  E,"Washer Included, Dryer Included, Full Size, Refrigerator",No,2.55,2.8,"$2,668",$1.49,"$522,233",,$215.75,,"2,412",,,3 Full  & 1Half Bath(s),,3 Bedroom(s),,"2,064192(m_)  /Appraisal District",,Houston,,,,Central Electric,Granite,Harris County,,,17x10,Yes,Yes,Ceiling Fans,Balcony,"Cement Board, Stucco",,,"Cash Sale, Conventional, FHA, VA",1 / Gas Connections,"Wood, Carpet, Slate",,Slab,,,,,2 / Attached,,Central Gas,207,427,,,"Breakfast Bar, High Ceiling, Prewired for Alarm System, Drapes/Curtains/Window Cover",492M,10x9,LT 5 BLK 1 FEAGAN COURT,Exclusive Right to Sell/Lease,379000,For Sale,19x12,,,"1,588 Sqft.148(m_)  /Appraisal District",85075992 (HAR),,No/$0,Rice Military/Washington Corridor,Rice Military/Washington Corridor,,"Double Sinks, Master Bath + Separate Shower",,,,,,,,Yes,,,,,,No/$0,Electric Oven,http://www.har.com/4410-feagan-st--e/sale_85075992,Auto Garage Door Opener,,,,0.0405,No,,Townhouse / Condo,,Freestanding Range,Composition,"Living/Dining Combo, Living Area - 2nd Floor",,TX,,3,,Contemporary/Modern,Feagan Court,,2.53516,"$9,380/2016",E,,,,,,,,,,,,,,,Yes,,"Public Sewer, Public Water",2000   / Appraisal District,77007,5933372ee2bac83b34e52e35,,,
,15x14,,14x12,,14x10,,,,5404 Rose St,,,3,2,,,,,,,,,,3 Full  & 1Half Bath(s),,3 Bedroom(s),10x7,"2,164201(m_)  /Appraisal District",,Houston,No,"Gas Dryer Connections, Washer Connections",,"Central Electric, Zoned","Granite, Tile, Slate",Harris County,77007,,12x12,Yes,Yes,"Ceiling Fans, Digital Program Thermostat","Partially Fenced, Patio/Deck, Sprinkler System","Cement Board, Stucco",,,"Cash Sale, Conventional",1 / Gaslog Fireplace,"Tile, Wood, Carpet, Slate",,Slab,West,,,,2 / Attached,No,"Central Gas, Zoned",,,,,"Alarm System - Owned, Breakfast Bar, Island Kitchen, Prewired for Alarm System, Refrigerator Included, Fire/Smoke Alarm, Drapes/Curtains/Window Cover",492G,13x11,TR 9A BLK 7 & 0.1666 INT TRS 9C & 10 (COMMON AREA) DETERING,Exclusive Right to Sell/Lease,379000,For Sale,19x15,,"Subdivision Lot, Patio Lot","1,164 Sqft.108(m_)  /Appraisal District",54523539 (HAR),,No/$0,Rice Military/Washington Corridor,,,"Double Sinks, Master Bath + Separate Shower, Whirlpool/Tub",,"$436,105",$0.00,"1,869",,"2,131",2003,Yes,,,,$410 - $446 K,,No/$0,Electric Oven,http://www.har.com/5404-rose-st/sale_54523539,,,,,0.0477,No,,Single Family,,Gas Range,Composition,"Living/Dining Combo, Living Area - 2nd Floor",6,TX,,3,,Traditional,Detering View subdivision price trend,ROSE PATIO HOMES,2.53516,"$9,507/2016",,,,,,,,,,,,,,Utility Room 3rd Floor,6x3,,,"Public Sewer, Public Water",1999   / Appraisal District,77007,5933372ee2bac83b34e52e36,,,
,21x21,,11x12,,11x12,,,Driveway Gate,2115 Woodcrest Dr,,Yes,1.94,3,,,,,,,,,,2 Full  Bath(s),,3 Bedroom(s),,"1,561145(m_)  /Appraisal District",Attached Carport,Houston,No,Washer Connections,,Central Electric,,Harris County,77018,,10x15,Yes,Yes,,Back Yard Fenced,Brick & Wood,,,"Cash Sale, Conventional, FHA, VA",,"Tile, Wood, Carpet",,Slab,North,,,Auto Garage Door Opener,2 / Detached,No,Central Gas,,,,,Fire/Smoke Alarm,451R,9x19,LT 7 BLK 3 OAK FOREST SEC 13,Exclusive Agency to Sell/Lease,379000,For Sale,12x20,,Subdivision Lot,"8,708 Sqft.809(m_)  /Appraisal District",17527119 (HAR),,$ 25 / ANNUALLY,Oak Forest East Area,,,Master Bath Shower Only,,"$297,378",,"7,428",$198.60,"1,483",1951,Yes,,,,$225 - $745 K,,No/$0,"Freestanding Oven, Gas Oven",http://www.har.com/2115-woodcrest-dr/sale_17527119,,,,,0.0257,No,,Single Family,,Freestanding Range,Composition,,"3,819",TX,,1,,Traditional,Oak Forest Sec 13 View subdivision price trend,OAK FOREST ( EAST ),2.53516,"$5,828/2015",,,,,,,,,,,,,,Utility Rm in Garage,,,,"Public Sewer, Public Water",1952   / Appraisal District,77018,5933372ee2bac83b34e52e37,,,
,16X15,,12X11,,14X11,,,,2811 Rusk St,"Electric Dryer Connection, Gas Dryer Connections",No,2.06,2.57,"$1,706",$1.16,"$318,211",,$214.57,,"1,695",,,3 Full  & 1Half Bath(s),,3 Bedroom(s),,"2,455228(m_)  /Appraisal District",,Houston,No,,,Central Electric,Granite,Harris County,,,16X10,Yes,Yes,Ceiling Fans,,"Brick Veneer, Cement Board",,,"Cash Sale, Conventional",1 / Gaslog Fireplace,,,Slab,,,,,2 / Attached,,Central Gas,107,321,,,,493R,15X11,LT 32 BLK 1 CAPITOL OAKS SEC 4,Exclusive Right to Sell/Lease,379500,For Sale,18X19,,Courtyard,"1,536 Sqft.143(m_)  /Appraisal District",97148647 (HAR),"Exterior Building, Grounds, Water and Sewer",$ 1858 / ANNUALLY,East End Revitalized,East End Revitalized,,"Double Sinks, Master Bath + Separate Shower",,,,,,,,Yes,,,,,,Yes/$175,,http://www.har.com/2811-rusk-st/sale_97148647,Auto Garage Door Opener,,,,0.0501,No,,Townhouse / Condo,,Gas Range,Composition,"1 Living Area, Living/Dining Combo, Living Area - 2nd Floor,",,TX,,3,,Traditional,Capitol Oaks,,2.66016,"$11,895/2015",,,,,,,,,,,,,,,,Yes,,"Public Sewer, Public Water",2013   / Appraisal District,77003,5933372ee2bac83b34e52e38,,,
,11x12,,12x12,,15x26,16x20,,,912 Northwood St,,,1.69,2.71,,,,,,,,,,3 Full  Bath(s),,3 - 4 Bedroom(s),,"2,200204(m_)  /Appraisal District",Attached Carport,Houston,No,"Gas Dryer Connections, Washer Connections",,Central Electric,,Harris County,77009,,13x14,Yes,Yes,,Fully Fenced,Wood,,,"Cash Sale, Conventional, Investor",,"Laminate, Carpet",,Pier & Beam,,,,,,No,Central Gas,,,,,,453X,13x11,LT 1 BLK 110 BROOKE SMITH,Exclusive Right to Sell/Lease,379900,For Sale,13x14,,"Corner, Subdivision Lot","5,000 Sqft.465(m_)  /Appraisal District",62512195 (HAR),,No/$0,Heights/Greater Heights,,,,,"$238,409",,"5,000",$236.32,"1,204",1926,No,,,,$154 - $445 K,,No/$0,Convection Oven,http://www.har.com/912-northwood-st/sale_62512195,,,,,0,No,,Single Family,,Gas Cooktop,Composition,,803,TX,,1.5,,Traditional,Brooke Smith View subdivision price trend,BROOKE SMITH,2.52856,"$4,727/2016",,,,,,,,,,,,,,Utility Rm in House,9x16,,,"Public Sewer, Public Water",1920   / Appraisal District,77009,5933372ee2bac83b34e52e39,,,
,16x14,,11x11,,15x11,,,,734 B W 20th St,,No,2.15,2.85,,,,,,,,,,3 Full  & 1Half Bath(s),,3 Bedroom(s),,"2,251209(m_)  /Appraisal District",,Houston,No,"Electric Dryer Connections, Gas Dryer Connections, Washer Connections",,"Central Electric, Zoned",Quartz,Harris County,77008,,9x9,Yes,Yes,,Partially Fenced,"Wood, Brick Veneer, Cement Board",,,"Cash Sale, Conventional, FHA, VA",,"Tile, Wood, Carpet",,Slab,,,,,2 / Attached,No,"Central Gas, Zoned",,,,,"Breakfast Bar, Island Kitchen, Prewired for Alarm System, Fire/Smoke Alarm",,16x14,LT 8 BLK 1 WEST 20TH CROSSING,Exclusive Right to Sell/Lease,379900,For Sale,16x16,,Other,"1,508 Sqft.140(m_)  /Appraisal District",2608059 (HAR),,No/$0,Heights/Greater Heights,,,Double Sinks,,"$336,743",,"7,685",$167.83,"1,368",1950,Yes,,,,$188 - $529 K,,No/$0,Electric Oven,http://www.har.com/734-b-w-20th-st/sale_2608059,,,,,0,No,,Single Family,,Gas Range,Composition,,449,TX,,3,,Contemporary/Modern,West 20th Xing View subdivision price trend,SHADY ACRES,2.52856,"$9,356/2016",,,,,,,,,,,,,,,,,,"Public Sewer, Public Water",2015   / Appraisal District,77008,5933372ee2bac83b34e52e3a,,,
,17x14,,13x11,,12x10,,,Driveway Gate,1026 Green Kensington,,No,2.26,2.95,"$2,401",$1.40,"$483,727",,$228.58,,"2,129",,,3 Full  & 1Half Bath(s),,3 Bedroom(s),,"2,038189(m_)  /Builder",,Houston,No,"Electric Dryer Connections, Gas Dryer Connections, Washer Connections",,Central Electric,Granite,Harris County,,,14x7,Yes,Yes,"Attic Vents, Insulated/Low-E windows, Ceiling Fans, Digital Program Thermostat, Energy Star Appliances, High-Efficiency HVAC, HVAC>13 SEER, Insulation - Batt","Patio/Deck, Controlled Subdivision Access","Brick Veneer, Cement Board, Stucco",,,"Cash Sale, Conventional, FHA, VA",,"Tile, Wood, Carpet",,Slab,West,,,"Additional Parking, Double-Wide Driveway",2 / Attached,Yes,Central Gas,28,132,,,"Breakfast Bar, High Ceiling, Island Kitchen, Prewired for Alarm System, Fire/Smoke Alarm",492A,16x13,"Lot 3, Block 1, Kensington Green",Exclusive Right to Sell/Lease,379900,For Sale,19x19,,Subdivision Lot,"1,407 Sqft.131(m_)  /Appraisal District",21401833 (HAR),,$ 2300 / ANNUALLY,Timbergrove/Lazybrook,Timbergrove/Lazybrook,,"Double Sinks, Master Bath + Separate Shower, Whirlpool/Tub",,,,,,,,Yes,,,,,,No/$0,Gas Oven,http://www.har.com/1026-green-kensington/sale_21401833,,,,,0,No,,Single Family,,Gas Range,Composition,"1 Living Area, Kitchen/Dining Combo, Living/Dining Combo, Living Area - 2nd Floor,",,TX,,3,,Traditional,Kensington Green,,,,,,,,,,,,,,,,,Utility Room 1st Floor,,,,"Public Sewer, Public Water",2017   / Builder,77008,5933372ee2bac83b34e52e3b,,,
,17x14,,13x11,,12x10,,,Driveway Gate,1023 Green Kensington,,No,2.26,2.95,"$2,401",$1.40,"$483,727",,$228.58,,"2,129",,,3 Full  & 1Half Bath(s),,3 Bedroom(s),,"2,038189(m_)  /Builder",,Houston,No,"Electric Dryer Connections, Gas Dryer Connections, Washer Connections",,Central Electric,Granite,Harris County,,,14x7,Yes,Yes,"Attic Vents, Insulated/Low-E windows, Ceiling Fans, Digital Program Thermostat, Energy Star Appliances, High-Efficiency HVAC, HVAC>13 SEER, Insulation - Batt","Patio/Deck, Controlled Subdivision Access","Brick Veneer, Cement Board, Stucco",,,"Cash Sale, Conventional, FHA, VA",,"Tile, Wood, Carpet",,Slab,East,,,"Additional Parking, Double-Wide Driveway",2 / Attached,Yes,Central Gas,28,132,,,"Breakfast Bar, High Ceiling, Island Kitchen, Prewired for Alarm System, Fire/Smoke Alarm",492A,16x13,"Lot 4, Block 3, Kensington Green",Exclusive Right to Sell/Lease,379900,For Sale,19x19,,Subdivision Lot,"1,407 Sqft.131(m_)  /Appraisal District",97700848 (HAR),,$ 2300 / ANNUALLY,Timbergrove/Lazybrook,Timbergrove/Lazybrook,,,,,,,,,,Yes,,,,,,No/$0,Gas Oven,http://www.har.com/1023-green-kensington/sale_97700848,,,,,0,No,,Single Family,,Gas Range,Composition,"1 Living Area, Living/Dining Combo, Living Area - 2nd Floor,",,TX,,3,,Traditional,Kensington Green,,,,,,,,,,,,,,,,,Utility Room 3rd Floor,,,,"Public Sewer, Public Water",2017   / Builder,77008,5933372ee2bac83b34e52e3c,,,
,17x14,,13x11,,12x10,,,Driveway Gate,1029 Green Kensington,,No,2.26,2.95,"$2,401",$1.40,"$483,727",,$228.58,,"2,129",,,3 Full  & 1Half Bath(s),,3 Bedroom(s),,"2,038189(m_)  /Builder",,Houston,No,"Electric Dryer Connections, Gas Dryer Connections, Washer Connections",,Central Electric,Granite,Harris County,,,14x7,Yes,Yes,"Attic Vents, Insulated/Low-E windows, Ceiling Fans, Digital Program Thermostat, Energy Star Appliances, High-Efficiency HVAC, HVAC>13 SEER, Insulation - Batt","Patio/Deck, Controlled Subdivision Access","Brick Veneer, Cement Board, Stucco",,,"Cash Sale, Conventional, FHA, VA",,"Tile, Wood, Carpet",,Slab,East,,,"Additional Parking, Double-Wide Driveway",2 / Attached,Yes,Central Gas,28,132,,,"Breakfast Bar, High Ceiling, Island Kitchen, Prewired for Alarm System, Fire/Smoke Alarm",492A,16x13,"Lot 1, Block 3, Kensington Gree",Exclusive Right to Sell/Lease,379900,For Sale,19x19,,Subdivision Lot,"1,407 Sqft.131(m_)  /Appraisal District",90077945 (HAR),,$ 2300 / ANNUALLY,Timbergrove/Lazybrook,Timbergrove/Lazybrook,,Whirlpool/Tub,,,,,,,,Yes,,,,,,No/$0,Gas Oven,http://www.har.com/1029-green-kensington/sale_90077945,,,,,0,No,,Single Family,,Gas Range,Composition,"1 Living Area, Living/Dining Combo, Living Area - 2nd Floor,",,TX,,3,,Traditional,Kensington Green,,,,,,,,,,,,,,,,,Utility Room 3rd Floor,,,,"Public Sewer, Public Water",2017   / Builder,77008,5933372ee2bac83b34e52e3d,,,
